Dataset,ROC_eps_1.0,PR_eps_1.0,F1_eps_1.0,ROC_eps_0.5,PR_eps_0.5,F1_eps_0.5,ROC_eps_0.1,PR_eps_0.1,F1_eps_0.1,ROC_eps_0.01,PR_eps_0.01,F1_eps_0.01,ROC_eps_0.001,PR_eps_0.001,F1_eps_0.001,ROC_eps_0.0001,PR_eps_0.0001,F1_eps_0.0001
Hepatitis,0.8257918552036199,0.6294082397167022,0.6153846153846154,0.8280542986425339,0.6381340261613215,0.6923076923076923,0.8235294117647058,0.6275001606580554,0.6923076923076923,0.8212669683257919,0.6392007138160984,0.6923076923076923,0.8190045248868778,0.6095641223374016,0.6923076923076923,0.8167420814479639,0.6031747681747682,0.6153846153846154
pima,0.7904328358208954,0.7638373853406385,0.7313432835820896,0.793507462686567,0.7675941893521878,0.7313432835820896,0.8036119402985076,0.7785582019581873,0.7313432835820896,0.79855223880597,0.777121397964163,0.7388059701492538,0.7712985074626866,0.763881060672696,0.7201492537313433,0.7520149253731343,0.7558020279087865,0.7126865671641791
thyroid,0.9864188873305284,0.8048278845910015,0.7311827956989247,0.9868045815801777,0.8047784146444508,0.7204301075268817,0.9865766713417485,0.8059232067833274,0.7096774193548387,0.9846423562412342,0.8003304704164784,0.7204301075268817,0.9834385226741468,0.7983043899655368,0.7311827956989247,0.9829885460495558,0.7981898734978224,0.7311827956989247
breastw,0.996550944249689,0.9965153650674525,0.9790794979079498,0.996532096950507,0.9965010711852341,0.9790794979079498,0.9964755550529609,0.9964488010723822,0.9790794979079498,0.9964755550529609,0.9964488010723822,0.9790794979079498,0.9964944023521429,0.9964650576986651,0.9790794979079498,0.996494402352143,0.9964650576986651,0.9790794979079498
WDBC,0.9977653631284916,0.9622222222222222,0.9,0.9983240223463687,0.9733333333333333,0.9,0.9983240223463686,0.9769230769230769,0.9,0.9994413407821229,0.9909090909090909,0.9,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0
Parkinson,0.7352607709750567,0.9463615837394671,0.9047619047619048,0.7386621315192744,0.9472357680889829,0.9047619047619048,0.7429138321995465,0.9486096725529498,0.8979591836734694,0.7355442176870748,0.9475115038649793,0.891156462585034,0.7335600907029478,0.9472289702467594,0.891156462585034,0.7332766439909297,0.9471834133428912,0.8843537414965986
lympho,0.9835680751173709,0.8708333333333333,0.6666666666666666,0.9859154929577465,0.8819444444444444,0.6666666666666666,0.9835680751173709,0.8708333333333333,0.6666666666666666,0.9835680751173709,0.8708333333333333,0.6666666666666666,0.9835680751173709,0.8708333333333333,0.6666666666666666,0.9835680751173709,0.8708333333333333,0.6666666666666666
wbc,0.9404096834264433,0.7827297785581102,0.6666666666666666,0.9409417398244213,0.7795902826471772,0.6666666666666666,0.9499866985900505,0.8019551977152628,0.7142857142857143,0.9577015163607342,0.8220964298695395,0.7619047619047619,0.9664804469273742,0.8483379095955821,0.7619047619047619,0.9672785315243416,0.8515952579862358,0.7619047619047619
fraud,0.9635756097560977,0.9220016882232216,0.8313008130081301,0.9636569105691057,0.9221962281887056,0.8313008130081301,0.9637268292682927,0.9224133915584245,0.8333333333333334,0.9634073170731708,0.9223024561059943,0.8333333333333334,0.9631390243902438,0.9221414855091978,0.8333333333333334,0.963050406504065,0.922101721754511,0.8333333333333334
campaign,0.7542422844827588,0.8421377822834847,0.7793103448275862,0.7530616379310345,0.8404070035006089,0.777801724137931,0.749839698275862,0.8381774383729341,0.7752155172413793,0.7471843965517241,0.8383308002573424,0.7642241379310345,0.7472268965517241,0.8409767948180125,0.7519396551724138,0.7516528448275862,0.8454423860816602,0.7553879310344828
glass,0.639697950377562,0.15640748458171777,0.1111111111111111,0.639697950377562,0.15603995423838585,0.1111111111111111,0.639697950377562,0.15584687315551712,0.1111111111111111,0.639697950377562,0.15584687315551712,0.1111111111111111,0.639697950377562,0.15584687315551712,0.1111111111111111,0.639697950377562,0.15584687315551712,0.1111111111111111
ionosphere,0.9582104228121927,0.9701409080897256,0.8888888888888888,0.9579997190616659,0.9699081554248034,0.8968253968253969,0.9572973732265768,0.9692875545001094,0.8888888888888888,0.955401039471836,0.9681536029221155,0.8888888888888888,0.9542772861356932,0.9677033188045994,0.8888888888888888,0.9551201011378002,0.968470341950148,0.8888888888888888
satimage-2,0.9581396263133583,0.6189265792265393,0.5915492957746479,0.9588718634205793,0.6254518266299022,0.5957446808510638,0.9598989611078894,0.6360496215724981,0.6338028169014085,0.9601938216879786,0.6377876236041731,0.6338028169014085,0.9602331364319905,0.6383639541056285,0.6338028169014085,0.9602380507749919,0.6384336661145946,0.6338028169014085
shuttle,0.995524124181145,0.997320517539743,0.9837653090287667,0.9955540871546569,0.9973633283323193,0.9837653090287667,0.995607633152948,0.9974363060030973,0.9837653090287667,0.9956869268014811,0.9975454524824632,0.9837653090287667,0.9953400170891483,0.997394438180405,0.9834804898889206,0.994733466248932,0.9971508580005344,0.9834804898889206
SpamBase,0.7617766188433441,0.8070879985158315,0.7409172126265634,0.7636703583356579,0.8097978195576749,0.7427039904705182,0.7686348866489245,0.8136221645554089,0.7361524717093508,0.7790049833761808,0.8221302621316507,0.7450863609291245,0.7918771345210003,0.8350248342620477,0.7516378796902918,0.8029563822649106,0.8466415691059892,0.7575938058368076
