dataset,LOF,LUNAR,KNN,AutoEncoder,DeepSVDD,DisentAD,DRL,iForest,MCM,OFA-TAD
Hepatitis,0.4289,0.3115,0.3063,0.3985,0.5444,0.4767,0.4344,0.4289,0.4515,0.4846
pima,0.6856,0.6887,0.7181,0.7122,0.6707,0.6856,0.7210,0.7194,0.7062,0.7037
thyroid,0.6055,0.6778,0.8094,0.7264,0.8038,0.8685,0.7867,0.7506,0.7817,0.8026
breastw,0.9532,0.9689,0.9962,0.9670,0.9894,0.9961,0.9945,0.9973,0.9977,0.9740
WDBC,0.9833,0.9250,0.9573,0.9485,0.8723,0.9605,0.9843,0.9677,0.9462,0.9933
Parkinson,0.9299,0.8336,0.8202,0.9292,0.9261,0.9209,0.9211,0.9607,0.7927,0.9348
lympho,0.5646,0.8559,0.4628,0.4061,0.9867,0.5709,0.8784,0.9738,0.9246,0.9182
wbc,0.8573,0.7638,0.8438,0.8023,0.7910,0.8120,0.9114,0.8317,0.8413,0.8092
fraud,0.0027,0.3981,0.2535,0.2777,0.1819,0.6142,0.2309,0.2373,0.5306,0.3870
campaign,0.2768,0.4241,0.4467,0.4614,0.4241,0.4399,0.4590,0.4614,0.5570,0.4515
glass,0.0952,0.1010,0.0931,0.0946,0.0904,0.4890,0.1008,0.0956,0.1447,0.1768
ionosphere,0.8607,0.9700,0.9590,0.9695,0.9066,0.9765,0.9774,0.8559,0.9772,0.9742
satimage-2,0.8846,0.6179,0.9669,0.9779,0.8387,0.5736,0.8602,0.9461,0.9774,0.9610
shuttle,0.9458,0.8138,0.9225,0.9683,0.9622,0.9958,0.9693,0.9862,0.9683,0.9961
SpamBase,0.7271,0.8160,0.8135,0.8200,0.7971,0.6524,0.8455,0.8760,0.7833,0.8924
