dataset,n_reference,n_test,n_anomaly,anomaly_prevalence,auroc,auprc,f1_oracle_prevalence,seed,context_size,projections,projection_strategy,fit_seconds,score_seconds,total_seconds,cold_start
Hepatitis,33,47,13,0.2765957446808511,0.8212669683257918,0.6580530271706744,0.6923076923076923,42,33,8,evenly_spaced,1.335306957946159,1.0305489579914138,2.3658559159375727,True
pima,250,518,268,0.5173745173745173,0.7406567164179105,0.7470619136392607,0.7014925373134329,42,200,8,evenly_spaced,0.00029558397363871336,4.978841333067976,4.979136917041615,False
thyroid,1839,1933,93,0.04811174340403518,0.9877512856474989,0.8303069860164142,0.7526881720430108,42,200,6,evenly_spaced,0.00047083303797990084,9.069750541937537,9.070221374975517,False
breastw,222,461,239,0.5184381778741866,0.996513249651325,0.9964618054121871,0.9790794979079498,42,200,8,evenly_spaced,0.0005305829690769315,3.060078041977249,3.060608624946326,False
WDBC,178,189,10,0.05291005291005291,1.0,0.9999999999999999,1.0,42,178,8,evenly_spaced,0.0003475840203464031,4.469526708009653,4.469874292029999,False
Parkinson,24,171,147,0.8596491228070176,0.731859410430839,0.9469746899008703,0.8843537414965986,42,24,8,evenly_spaced,0.0008473750203847885,2.1214661669218913,2.122313541942276,False
lympho,71,77,6,0.07792207792207792,0.9694835680751174,0.7436868686868686,0.6666666666666666,42,71,8,evenly_spaced,0.0002556249964982271,1.7629402079619467,1.763195832958445,False
wbc,178,200,21,0.105,0.9672785315243416,0.8515952579862358,0.7619047619047619,42,178,8,evenly_spaced,0.00038770807441323996,4.029851958039217,4.03023966611363,False
glass,102,112,9,0.08035714285714286,0.639697950377562,0.15584687315551712,0.1111111111111111,42,102,8,evenly_spaced,0.0003762500127777457,1.4626752499025315,1.4630514999153093,False
ionosphere,112,239,126,0.5271966527196653,0.9558926815563983,0.9689663390174068,0.8888888888888888,42,112,8,evenly_spaced,0.00029574998188763857,4.10755633295048,4.107852082932368,False
satimage-2,2866,2937,71,0.02417432754511406,0.9972283105471629,0.9704198880932267,0.9436619718309859,42,200,8,evenly_spaced,0.0006447499617934227,45.98471629107371,45.9853610410355,False
shuttle,22793,26304,3511,0.13347779805352797,0.9990455628525666,0.9920875324707161,0.9831956707490743,42,200,8,evenly_spaced,0.0027213329449295998,146.18350870802533,146.18623004097026,False
SpamBase,1264,2943,1679,0.5705062861026163,0.8074473579059266,0.855062935665038,0.7617629541393687,42,200,8,evenly_spaced,0.0005668749799951911,43.30086212500464,43.30142899998464,False
