Dataset,Domain,LOF,KNN,iForest,DSVDD,AE,MCM,LUNAR,DRL,DisentAD,OFA_TAD,TabICL_Epistemic,Delta_vs_OFA
Hepatitis,Healthcare,0.6131,0.491,0.7226,0.7837,0.5656,0.6108,0.5534,0.6855,0.6371,0.7353,0.8122,0.07690000000000008
Pima (Diabetes),Healthcare,0.6609,0.6807,0.7331,0.6898,0.7282,0.7131,0.7349,0.7313,0.7161,0.6959,0.767,0.07110000000000005
thyroid,Healthcare,0.9271,0.9868,0.9886,0.9851,0.9696,0.9418,0.9666,0.983,0.988,0.9809,0.9888,0.007900000000000018
breastw,Healthcare,0.9776,0.9764,0.9975,0.9913,0.9778,0.9977,0.9836,0.9949,0.996,0.9791,0.9962,0.017100000000000004
WDBC,Healthcare,0.9989,0.9978,0.998,0.9868,0.9961,0.9918,0.987,0.999,0.9977,0.9996,0.9978,-0.0018000000000000238
Parkinson,Healthcare,0.6967,0.4615,0.7718,0.684,0.6936,0.3379,0.4746,0.6603,0.7101,0.7164,0.7279,0.011499999999999955
lympho,Healthcare,0.9577,0.9343,0.9972,0.9981,0.9413,0.9915,0.9828,0.992,0.8338,0.9911,0.9859,-0.005199999999999982
wbc,Healthcare,0.9715,0.9707,0.9626,0.9448,0.9582,0.9708,0.9559,0.9821,0.9777,0.9516,0.9388,-0.012800000000000034
ionosphere,Oryctognosy,0.8344,0.949,0.8419,0.8919,0.9605,0.9676,0.9578,0.9671,0.969,0.9639,0.9584,-0.005499999999999949
glass,Forensic,0.5771,0.5663,0.5676,0.5441,0.5717,0.5804,0.5946,0.5853,0.8996,0.669,0.6872,0.018199999999999994
mammography,Healthcare,0.8599,0.8724,0.8835,0.8615,0.8935,0.9073,0.8719,0.8788,0.888,0.9,0.8391,-0.060900000000000065
