Dataset,Domain,Samples,Anomalies,Best_Baseline,Best_Baseline_ROC,OFA_TAD_ROC,TabICL_ROC,Delta_ROC,Best_Baseline_PR,OFA_TAD_PR,TabICL_PR,Delta_PR,OFA_TAD_F1,TabICL_F1
Hepatitis,Healthcare,47,13,DSVDD,0.7837,0.7353,0.8167420814479639,0.08144208144796394,0.5444,0.4846,0.6031747681747682,0.11857476817476825,0.4,0.6153846153846154
pima,Healthcare,518,268,LUNAR,0.7349,0.6959,0.7520149253731343,0.05611492537313434,0.6887,0.7037,0.7558020279087865,0.052102027908786486,0.6709,0.7126865671641791
thyroid,Healthcare,1933,93,iForest,0.9886,0.9809,0.9829885460495558,0.002088546049555773,0.7506,0.8026,0.7981898734978224,-0.004410126502177536,0.7398,0.7311827956989247
breastw,Healthcare,461,239,MCM,0.9977,0.9791,0.996494402352143,0.017394402352143068,0.9977,0.974,0.9964650576986651,0.022465057698665136,0.9439,0.9790794979079498
WDBC,Healthcare,189,10,DRL,0.999,0.9996,1.0,0.00039999999999995595,0.9843,0.9933,0.9999999999999999,0.006699999999999928,0.96,1.0
Parkinson,Healthcare,171,147,iForest,0.7718,0.7164,0.7332766439909297,0.016876643990929696,0.9607,0.9348,0.9471834133428912,0.01238341334289128,0.883,0.8843537414965986
lympho,Healthcare,77,6,DSVDD,0.9981,0.9911,0.9835680751173709,-0.007531924882629104,0.9867,0.9182,0.8708333333333333,-0.04736666666666667,0.9,0.6666666666666666
wbc,Healthcare,200,21,DRL,0.9821,0.9516,0.9672785315243416,0.01567853152434162,0.9114,0.8092,0.8515952579862358,0.04239525798623578,0.7143,0.7619047619047619
fraud,Finance,142650,492,iForest,0.9402,0.8785,0.963050406504065,0.08455040650406509,0.2373,0.387,0.922101721754511,0.535101721754511,0.4871,0.8333333333333334
campaign,Finance,22914,4640,MCM,0.8354,0.7564,0.7516528448275862,-0.004747155172413753,0.557,0.4515,0.8454423860816602,0.3939423860816602,0.4646,0.7553879310344828
glass,Forensic,112,9,DisentAD,0.8996,0.669,0.639697950377562,-0.029302049622437987,0.489,0.1768,0.15584687315551712,-0.02095312684448289,0.1791,0.1111111111111111
ionosphere,Radar,239,126,DisentAD,0.969,0.9639,0.9551201011378002,-0.008779898862199764,0.9765,0.9742,0.968470341950148,-0.005729658049851927,0.9032,0.8888888888888888
satimage-2,Astronautics,2937,71,AE,0.9985,0.9964,0.9602380507749919,-0.03616194922500804,0.9779,0.961,0.6384336661145946,-0.32256633388540534,0.9211,0.6338028169014085
shuttle,Astronautics,26304,3511,MCM,0.9986,0.9998,0.994733466248932,-0.005066533751068025,0.9683,0.9961,0.9971508580005344,0.0010508580005343937,0.9855,0.9834804898889206
SpamBase,Document,2943,1679,iForest,0.8474,0.8599,0.8029563822649106,-0.05694361773508938,0.876,0.8924,0.8466415691059892,-0.04575843089401077,0.818,0.7575938058368076
