dataset,n_reference,n_test,n_anomaly,anomaly_prevalence,auroc,auprc,f1_oracle_prevalence,seed,context_size,projections,condition,projection_strategy,fit_seconds,score_seconds,total_seconds,cold_start
Hepatitis,33,47,13,0.2765957446808511,0.8212669683257918,0.6580530271706744,0.6923076923076923,42,33,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
pima,250,518,268,0.5173745173745173,0.7406567164179105,0.7470619136392607,0.7014925373134329,42,200,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
thyroid,1839,1933,93,0.0481117434040351,0.9877512856474988,0.8303069860164142,0.7526881720430108,42,200,6,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
breastw,222,461,239,0.5184381778741866,0.996513249651325,0.9964618054121872,0.9790794979079498,42,200,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
WDBC,178,189,10,0.0529100529100529,1.0,1.0,1.0,42,178,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
Parkinson,24,171,147,0.8596491228070176,0.731859410430839,0.9469746899008704,0.8843537414965986,42,24,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
lympho,71,77,6,0.0779220779220779,0.9694835680751174,0.7436868686868686,0.6666666666666666,42,71,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
wbc,178,200,21,0.105,0.9672785315243416,0.8515952579862358,0.7619047619047619,42,178,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
fraud,142157,142650,492,0.0034490010515247,0.911830648584416,0.5370785594694817,0.5182926829268293,42,200,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
campaign,18274,22914,4640,0.2024962904774373,0.7474658208100449,0.4742008131156703,0.5230603448275862,42,200,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
glass,102,112,9,0.0803571428571428,0.639697950377562,0.1558468731555171,0.1111111111111111,42,102,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
ionosphere,112,239,126,0.5271966527196653,0.9558926815563984,0.9689663390174068,0.8888888888888888,42,112,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
satimage-2,2866,2937,71,0.024174327545114,0.9972283105471628,0.9704198880932268,0.943661971830986,42,200,8,evenly_spaced_seed42,evenly_spaced,0.001,0.0,0.0,False
