dataset,auroc_mean,auroc_std,auprc_mean,auprc_std,score_seconds_mean
Hepatitis,0.8212669683257919,0.0,0.6580530271706744,0.0,3.2941253818571568
Parkinson,0.731859410430839,0.0,0.9469746899008703,9.930136612989092e-17,4.466945479352337
SpamBase,0.8048867180333884,0.01597225209482179,0.8428445462990046,0.015605806739907751,95.59335864583652
WDBC,1.0,0.0,1.0,9.930136612989092e-17,7.38293980564534
breastw,0.9964629901868395,0.0007119856746824868,0.9964846219099392,0.0007635994307500667,6.7799338403274305
campaign,0.7654992757123682,0.03230769255814955,0.49036362563337543,0.040213813979161316,965.5831565558523
fraud,0.9147121862974633,0.00407510971428109,0.47443390917720163,0.08859291405346219,0.0
glass,0.639697950377562,0.0,0.15584687315551712,2.482534153247273e-17,3.8599658748328998
ionosphere,0.9558926815563984,9.930136612989092e-17,0.9689663390174067,0.0,7.4256021873249365
lympho,0.9694835680751174,0.0,0.7436868686868686,0.0,3.909009507003551
pima,0.7389004975124379,0.013724286527614584,0.7488705898437004,0.010340925187321843,11.249691000014233
satimage-2,0.9964133486660834,0.002478194404158833,0.9584408636876353,0.027027234276810138,69.538786312507
shuttle,0.9977612286329361,0.002827944763221234,0.9904963444389373,0.0028285828186695237,377.77909260433324
thyroid,0.9848303334891694,0.005836186436149053,0.809079405421432,0.05063483041606948,18.94911786801337
wbc,0.9672785315243416,0.0,0.8515952579862359,0.0,7.517564166802913
